TEST_BATTERY_ID,TEST_BATTERY_QUERY_FEATURE,TEST_BATTERY_QUERY_VALUE,1_Most_Similar_Battery_ID,1_Most_Similar_Battery_ID_SCORE,2_Most_Similar_Battery_ID,2_Most_Similar_Battery_ID_SCORE,3_Most_Similar_Battery_ID,3_Most_Similar_Battery_ID_SCORE,4_Most_Similar_Battery_ID,4_Most_Similar_Battery_ID_SCORE,5_Most_Similar_Battery_ID,5_Most_Similar_Battery_ID_SCORE,6_Most_Similar_Battery_ID,6_Most_Similar_Battery_ID_SCORE,7_Most_Similar_Battery_ID,7_Most_Similar_Battery_ID_SCORE,8_Most_Similar_Battery_ID,8_Most_Similar_Battery_ID_SCORE,9_Most_Similar_Battery_ID,9_Most_Similar_Battery_ID_SCORE,10_Most_Similar_Battery_ID,10_Most_Similar_Battery_ID_SCORE
b3c0,slope_last_400_cycles,-0.0004074497520923615,b1c5,3.491342067718495e-06,b1c11,7.878392934799181e-06,b1c18,8.915960788726809e-06,b1c24,9.243041276931721e-06,b1c41,1.1800229549407926e-05,b1c20,2.206087112426757e-05,b1c23,2.453535795211788e-05,b1c15,2.836957573890684e-05,b1c29,3.062993288040157e-05,b1c9,3.0787438154220536e-05
b3c0,mean_grad_last_400_cycles,-0.00040732413530349733,b1c5,3.968030214309651e-06,b1c11,8.819699287414512e-06,b1c18,9.205043315887475e-06,b1c24,9.350031614303552e-06,b1c41,1.2034624814987144e-05,b1c20,2.2479891777038553e-05,b1c23,2.4403631687164263e-05,b1c15,2.8651356697082496e-05,b1c14,3.2058507204055784e-05,b1c29,3.216728568077086e-05
b3c0,slope_last_500_cycles,-0.00034015119075775146,b1c11,2.099394798278794e-06,b1c5,7.865667343139645e-06,b1c24,1.0564684867858892e-05,b1c3,1.2070298194885273e-05,b1c15,2.1000027656555183e-05,b1c17,2.9729962348937992e-05,b1c28,3.299069404602052e-05,b1c40,3.5752654075622554e-05,b1c34,4.170072078704836e-05,b1c32,4.440319538116458e-05
b3c0,mean_grad_last_500_cycles,-0.0003402209281921387,b1c11,2.0920038223266576e-06,b1c5,7.863879203796398e-06,b1c24,1.0772109031677226e-05,b1c3,1.1869907379150405e-05,b1c15,2.0941734313964847e-05,b1c17,2.9761195182800317e-05,b1c28,3.3037066459655734e-05,b1c40,3.703689575195314e-05,b1c34,4.1708230972290015e-05,b1c32,4.434251785278323e-05
b3c0,slope_last_600_cycles,-0.00029409557580947873,b1c11,5.289912223815918e-07,b1c3,7.788439591725651e-06,b1c24,1.0704696178436294e-05,b1c5,1.1001825332641651e-05,b1c15,1.2740393479665154e-05,b1c17,1.9506911436716762e-05,b1c28,2.6674469312032076e-05,b1c40,3.088841835657759e-05,b1c38,3.144681453704835e-05,b1c34,3.208984931310022e-05
b3c0,mean_grad_last_600_cycles,-0.00029415716727574666,b1c11,5.264083544413408e-07,b1c3,7.766385873158763e-06,b1c24,1.0677675406138088e-05,b1c5,1.0982950528462727e-05,b1c15,1.2727578481038437e-05,b1c17,1.9444823265075658e-05,b1c28,2.6847024758656804e-05,b1c38,3.140906492869061e-05,b1c34,3.204772869745893e-05,b1c40,3.236432870229087e-05
b3c0,slope_last_700_cycles,-0.0002582447017942156,b1c11,1.7424140657697337e-06,b1c3,1.9925832748412717e-06,b1c15,4.981500761849561e-06,b1c24,1.0696904999869241e-05,b1c5,1.1387041636875715e-05,b1c17,1.621578420911516e-05,b1c28,2.297946384974888e-05,b1c40,2.4950078555515862e-05,b1c36,2.527875559670586e-05,b1c34,2.53628832953317e-05
b3c0,mean_grad_last_700_cycles,-0.00025820161615099226,b1c11,1.662373542785664e-06,b1c3,1.813258443559933e-06,b1c15,4.9163614000592845e-06,b1c24,1.098326274326871e-05,b1c5,1.1392065456935325e-05,b1c17,1.629599503108432e-05,b1c28,2.301786627088273e-05,b1c36,2.5201184409005296e-05,b1c34,2.5383915219988145e-05,b1c40,2.6139361517769932e-05
b3c0,slope_last_800_cycles,-0.0002318180352449417,b1c3,3.0698627233505162e-06,b1c5,8.86067748069762e-06,b1c24,9.857788681983949e-06,b1c17,1.1360719799995432e-05,b1c14,1.3853907585144033e-05,b1c28,1.8526315689086924e-05,b1c26,2.9833614826202398e-05,b1c7,3.867372870445252e-05,b1c1,4.768580198287963e-05,b1c11,nan
b3c0,mean_grad_last_800_cycles,-0.00023181252181529998,b1c3,3.01301479339598e-06,b1c5,8.926764130592354e-06,b1c24,9.942427277565008e-06,b1c17,1.140177249908447e-05,b1c28,1.852244138717652e-05,b1c26,3.0439198017120385e-05,b1c7,3.953792154788973e-05,b1c1,4.7714114189147935e-05,b1c11,nan,b1c15,nan
b3c0,slope_last_900_cycles,-0.0002099547783533732,b1c3,1.5165408452351783e-06,b1c5,8.281866709391279e-06,b1c1,4.259943962097167e-05,b1c7,nan,b1c11,nan,b1c15,nan,b1c17,nan,b1c19,nan,b1c21,nan,b1c24,8.553995026482498e-06
b3c0,mean_grad_last_900_cycles,-0.000209960142771403,b1c3,1.4824337429470466e-06,b1c5,8.292992909749342e-06,b1c1,4.259222083621554e-05,b1c7,nan,b1c11,nan,b1c15,nan,b1c17,nan,b1c19,nan,b1c21,nan,b1c24,8.539160092671712e-06
b3c0,slope_last_1000_cycles,-0.00019000953435897828,b1c3,4.3407082557678114e-06,b1c5,1.0021924972534172e-05,b1c1,3.0773282051086424e-05,b1c7,nan,b1c11,nan,b1c15,nan,b1c17,nan,b1c19,nan,b1c21,nan,b1c24,7.738411426544173e-06
b3c0,mean_grad_last_1000_cycles,-0.00018993479013442995,b1c3,4.507839679718012e-06,b1c5,1.010918617248534e-05,b1c1,3.094238042831423e-05,b1c7,nan,b1c11,nan,b1c15,nan,b1c17,nan,b1c19,nan,b1c21,nan,b1c24,7.770359516143786e-06
b3c0,cycle,1010,b1c23,5,b1c24,8,b1c41,42,b1c9,43,b1c40,45,b1c5,64,b1c29,92,b1c14,129,b1c31,135,b1c7,141
b3c1,slope_last_10_cycles,-0.0006294310092926026,b1c24,5.7995319366454644e-06,b1c14,6.812810897827105e-06,b1c28,7.331371307373047e-06,b1c29,7.855892181396441e-06,b1c17,3.173351287841795e-05,b1c41,3.491640090942389e-05,b1c32,7.292628288269043e-05,b1c42,7.350444793701165e-05,b1c11,8.521080017089846e-05,b1c36,8.584856986999507e-05
b3c1,mean_grad_last_10_cycles,-0.0006766319274902344,b1c29,1.96099281311033e-06,b1c14,6.943941116333008e-06,b1c24,1.5994906425476096e-05,b1c28,2.8166174888610796e-05,b1c17,2.8678774833679178e-05,b1c32,5.5223703384399414e-05,b1c36,6.208717823028562e-05,b1c41,6.765127182006836e-05,b1c42,8.031725883483887e-05,b1c11,8.040070533752439e-05
b3c1,slope_last_50_cycles,-0.0008123290538787842,b1c14,1.1694431304932118e-06,b1c24,1.2418031692504783e-05,b1c29,1.762747764587412e-05,b1c28,3.0061006546020516e-05,b1c41,3.749251365661624e-05,b1c17,5.075097084045405e-05,b1c40,5.969643592834467e-05,b1c25,6.114125251770013e-05,b1c11,6.518125534057614e-05,b1c19,7.476687431335444e-05
b3c1,mean_grad_last_50_cycles,-0.0008219444751739502,b1c14,3.546476364135742e-06,b1c24,7.256865501403809e-06,b1c29,2.347290515899666e-05,b1c28,3.123581409454352e-05,b1c41,3.653049468994147e-05,b1c17,4.743397235870358e-05,b1c25,5.584061145782473e-05,b1c11,6.277561187744134e-05,b1c40,7.274746894836426e-05,b1c19,8.29267501831054e-05
b3c1,slope_last_100_cycles,-0.0008113342523574829,b1c23,1.892268657684333e-05,b1c11,2.004146575927733e-05,b1c9,2.372264862060547e-05,b1c40,3.1068325042724596e-05,b1c14,3.2265186309814436e-05,b1c25,3.384470939636229e-05,b1c19,3.538489341735839e-05,b1c20,3.6926269531250026e-05,b1c29,4.0574073791503976e-05,b1c28,5.087554454803473e-05
b3c1,mean_grad_last_100_cycles,-0.0008156171441078186,b1c11,1.9426643848419146e-05,b1c23,1.9616782665252673e-05,b1c40,2.5883615016937208e-05,b1c9,2.928406000137331e-05,b1c14,3.216892480850219e-05,b1c25,3.562390804290772e-05,b1c20,3.8508772850036604e-05,b1c29,4.1911303997039834e-05,b1c19,4.3894350528717e-05,b1c28,5.162209272384648e-05
b3c1,slope_last_200_cycles,-0.0006546208262443543,b1c9,1.90943479537963e-06,b1c40,6.832778453826917e-06,b1c23,1.0277032852172856e-05,b1c41,1.6691684722900443e-05,b1c18,1.98847055435181e-05,b1c5,2.1632909774780304e-05,b1c29,2.1724104881286582e-05,b1c25,2.6510357856750514e-05,b1c11,2.9924809932708758e-05,b1c24,3.455072641372686e-05
b3c1,mean_grad_last_200_cycles,-0.0006552332639694214,b1c40,2.121329307556161e-06,b1c9,3.4227967262268717e-06,b1c23,1.130193471908568e-05,b1c41,1.653999090194696e-05,b1c18,1.9321143627166787e-05,b1c5,2.231806516647336e-05,b1c29,2.3442804813385027e-05,b1c25,2.6851594448089647e-05,b1c11,2.9666423797607383e-05,b1c24,3.413856029510498e-05
b3c1,slope_last_300_cycles,-0.0004958111047744751,b1c18,5.682309468584782e-08,b1c24,1.1486808458964059e-05,b1c20,1.3566414515177403e-05,b1c41,1.5651782353719125e-05,b1c5,1.5854835510253906e-05,b1c11,2.8975605964660597e-05,b1c23,3.1287272771199576e-05,b1c40,3.6054650942484584e-05,b1c9,3.894905249277752e-05,b1c29,4.548350969950355e-05
b3c1,mean_grad_last_300_cycles,-0.0004956122239430746,b1c18,7.909536361694596e-07,b1c24,1.1750857035318948e-05,b1c20,1.2897849082946797e-05,b1c41,1.575032869974768e-05,b1c5,1.6508698463439902e-05,b1c11,3.0174851417541504e-05,b1c23,3.1400322914123505e-05,b1c40,3.917435805002843e-05,b1c9,4.0920376777648856e-05,b1c29,4.534085591634111e-05
b3c1,slope_last_400_cycles,-0.0003939102590084076,b1c5,1.703083515167239e-05,b1c3,1.9469410181045528e-05,b1c11,2.1417886018753078e-05,b1c24,2.2782534360885618e-05,b1c15,4.1909068822860735e-05,b1c40,4.954501986503601e-05,b1c17,5.1927119493484504e-05,b1c28,5.2613914012908944e-05,b1c32,6.361410021781921e-05,b1c19,6.7984014749527e-05
b3c1,mean_grad_last_400_cycles,-0.00039391934871673583,b1c5,1.7372816801071152e-05,b1c3,1.8990486860275273e-05,b1c11,2.2224485874176012e-05,b1c24,2.2754818201065053e-05,b1c15,4.2056143283843996e-05,b1c40,5.1666945219039937e-05,b1c17,5.1759183406829834e-05,b1c28,5.2262842655181874e-05,b1c32,6.236493587493899e-05,b1c19,7.06874579191208e-05
b3c1,slope_last_500_cycles,-0.0003287245035171509,b1c3,6.436109542847087e-07,b1c11,1.3526082038879358e-05,b1c5,1.929235458374021e-05,b1c24,2.1991372108459456e-05,b1c15,3.2426714897155747e-05,b1c17,4.1156649589538556e-05,b1c28,4.441738128662108e-05,b1c40,4.717934131622312e-05,b1c34,5.312740802764892e-05,b1c32,5.582988262176514e-05
b3c1,mean_grad_last_500_cycles,-0.00032872343063354494,b1c3,3.7240982055667055e-07,b1c11,1.3589501380920392e-05,b1c5,1.9361376762390132e-05,b1c24,2.226960659027096e-05,b1c15,3.243923187255858e-05,b1c17,4.125869274139405e-05,b1c28,4.453456401824947e-05,b1c40,4.853439331054687e-05,b1c34,5.320572853088375e-05,b1c32,5.584001541137696e-05
b3c1,slope_last_600_cycles,-0.0002835227052370707,b1c3,2.7844309806823817e-06,b1c11,1.0043879350026441e-05,b1c24,2.1277566750844328e-05,b1c5,2.1574695905049685e-05,b1c15,2.3313264052073188e-05,b1c17,3.0079782009124795e-05,b1c28,3.724733988444011e-05,b1c40,4.1461288928985624e-05,b1c38,4.201968510945638e-05,b1c34,4.266271988550825e-05
b3c1,mean_grad_last_600_cycles,-0.0002837394674619039,b1c3,2.651313940683995e-06,b1c11,9.891291459401417e-06,b1c24,2.1095375219980846e-05,b1c5,2.1400650342305485e-05,b1c15,2.3145278294881195e-05,b1c17,2.9862523078918416e-05,b1c28,3.726472457249956e-05,b1c38,4.1826764742533367e-05,b1c34,4.2465428511301686e-05,b1c40,4.2782028516133626e-05
b3c1,slope_last_700_cycles,-0.000249588063785008,b1c3,6.66405473436632e-06,b1c11,6.914223943437858e-06,b1c15,1.3638138771057153e-05,b1c4,1.755518572671072e-05,b1c24,1.9353543009076833e-05,b1c5,2.0043679646083307e-05,b1c17,2.4872422218322752e-05,b1c28,3.163610185895647e-05,b1c40,3.3606716564723454e-05,b1c36,3.393539360591345e-05
b3c1,mean_grad_last_700_cycles,-0.00024949278150285996,b1c3,6.895576204572372e-06,b1c11,7.046461105346641e-06,b1c15,1.362519604819159e-05,b1c24,1.9692097391401015e-05,b1c5,2.010090010506763e-05,b1c17,2.5004829679216626e-05,b1c28,3.1726700919015036e-05,b1c36,3.39100190571376e-05,b1c34,3.409274986812045e-05,b1c40,3.4848196165902237e-05
b3c1,slope_last_800_cycles,-0.00022479601204395295,b1c3,3.95216047763825e-06,b1c4,1.256547868251802e-05,b1c5,1.5882700681686386e-05,b1c24,1.6879811882972715e-05,b1c17,1.83827430009842e-05,b1c28,2.554833889007569e-05,b1c26,3.6855638027191164e-05,b1c1,4.0663778781890864e-05,b1c7,4.5695751905441286e-05,b1c11,nan
b3c1,mean_grad_last_800_cycles,-0.0002248731255531311,b1c3,3.9263814687729e-06,b1c5,1.5866160392761234e-05,b1c24,1.6881823539733888e-05,b1c17,1.834116876125335e-05,b1c28,2.54618376493454e-05,b1c26,3.7378594279289265e-05,b1c1,4.0774717926979055e-05,b1c7,4.647731781005861e-05,b1c11,nan,b1c15,nan
b3c1,slope_last_900_cycles,-0.00020462148719363742,b1c3,3.8167503145005994e-06,b1c5,1.3615157869127057e-05,b1c1,3.726614846123589e-05,b1c7,nan,b1c11,nan,b1c15,nan,b1c17,nan,b1c19,nan,b1c21,nan,b1c24,1.3887286186218276e-05
b3c1,mean_grad_last_900_cycles,-0.00020460532771216498,b1c3,3.872381316290968e-06,b1c5,1.3647807968987356e-05,b1c1,3.7237405776977526e-05,b1c7,nan,b1c11,nan,b1c15,nan,b1c17,nan,b1c19,nan,b1c21,nan,b1c24,1.3893975151909726e-05
b3c1,slope_last_1000_cycles,-0.00018740636110305787,b1c3,6.94388151168822e-06,b1c4,8.959233760833749e-06,b1c5,1.2625098228454581e-05,b1c1,2.8170108795166015e-05,b1c7,nan,b1c11,nan,b1c15,nan,b1c17,nan,b1c19,nan,b1c21,nan
b3c1,mean_grad_last_1000_cycles,-0.00018747198581695556,b1c3,6.970643997192402e-06,b1c4,9.09686088562011e-06,b1c5,1.257199048995973e-05,b1c1,2.8479576110839843e-05,b1c7,nan,b1c11,nan,b1c15,nan,b1c17,nan,b1c19,nan,b1c21,nan
b3c1,cycle,1064,b1c5,10,b1c9,11,b1c41,12,b1c24,46,b1c23,49,b1c40,99,b1c29,146,b1c14,183,b1c31,189,b1c7,195
b3c3,slope_last_10_cycles,-0.0004921257495880127,b1c2,2.5099515914917014e-05,b1c0,7.365345954895018e-05,b1c41,0.00010238885879516597,b1c28,0.00012997388839721682,b1c24,0.00014310479164123533,b1c14,0.00014411807060241697,b1c29,0.0001451611518859863,b1c17,0.0001690387725830078,b1c32,0.0002102315425872803,b1c42,0.00021080970764160152
b3c3,mean_grad_last_10_cycles,-0.0005299955606460572,b1c0,1.6674399375915527e-05,b1c2,4.0531158447265625e-05,b1c41,7.898509502410887e-05,b1c28,0.00011847019195556643,b1c24,0.00013064146041870113,b1c29,0.0001446753740310669,b1c14,0.00015358030796051023,b1c17,0.0001753151416778564,b1c32,0.00020186007022857664,b1c36,0.00020872354507446285
b3c3,slope_last_50_cycles,-0.0007295429706573487,b1c41,4.5293569564819314e-05,b1c28,5.2725076675415035e-05,b1c29,6.515860557556143e-05,b1c14,8.161664009094234e-05,b1c24,9.520411491394033e-05,b1c17,0.0001335370540618896,b1c40,0.00014248251914978022,b1c25,0.00014392733573913568,b1c11,0.0001479673385620117,b1c19,0.00015755295753479
b3c3,mean_grad_last_50_cycles,-0.0007365322113037109,b1c41,4.888176918029787e-05,b1c28,5.417644977569582e-05,b1c29,6.193935871124268e-05,b1c14,8.18657875061036e-05,b1c24,9.266912937164315e-05,b1c17,0.00013284623622894292,b1c25,0.00014125287532806407,b1c11,0.00014818787574768068,b1c40,0.0001581597328186036,b1c19,0.00016833901405334474
b3c3,slope_last_100_cycles,-0.000748140811920166,b1c28,1.2317895889282218e-05,b1c41,1.3509392738342263e-05,b1c29,2.2619366645812975e-05,b1c24,2.5111436843872027e-05,b1c20,2.6267170906066925e-05,b1c25,2.9348731040954664e-05,b1c14,3.0928254127502515e-05,b1c40,3.2125115394592355e-05,b1c23,4.427075386047362e-05,b1c11,8.323490619659428e-05
b3c3,mean_grad_last_100_cycles,-0.0007513692975044251,b1c28,1.2625753879547054e-05,b1c41,1.3000071048736546e-05,b1c29,2.23365426063537e-05,b1c20,2.573907375335693e-05,b1c24,2.754956483840942e-05,b1c25,2.8623938560485814e-05,b1c14,3.207892179489134e-05,b1c40,3.8364231586456325e-05,b1c23,4.463106393814086e-05,b1c11,8.367449045181268e-05
b3c3,slope_last_200_cycles,-0.0006169137358665466,b1c24,3.156363964080806e-06,b1c41,2.1015405654907222e-05,b1c40,3.087431192398075e-05,b1c9,3.9616525173187295e-05,b1c20,4.020005464553831e-05,b1c23,4.798412322998052e-05,b1c18,5.7591795921325766e-05,b1c5,5.934000015258797e-05,b1c29,5.943119525909425e-05,b1c25,6.421744823455818e-05
b3c3,mean_grad_last_200_cycles,-0.0006169727444648742,b1c24,4.121959209442178e-06,b1c41,2.1720528602600197e-05,b1c40,3.6139190196991e-05,b1c20,3.71548533439636e-05,b1c9,4.168331623077403e-05,b1c23,4.956245422363284e-05,b1c18,5.7581663131713945e-05,b1c5,6.0578584671020516e-05,b1c29,6.170332431793219e-05,b1c25,6.51121139526368e-05
b3c3,slope_last_300_cycles,-0.00047541677951812745,b1c20,6.8279107411702445e-06,b1c18,2.03375021616618e-05,b1c24,3.1881133715311706e-05,b1c41,3.604610761006677e-05,b1c5,3.6249160766601554e-05,b1c11,4.9369931221008244e-05,b1c3,4.9935777982076034e-05,b1c23,5.1681598027547224e-05,b1c40,5.644897619883223e-05,b1c9,5.934337774912517e-05
b3c3,mean_grad_last_300_cycles,-0.0004754801591237386,b1c20,7.234215736389154e-06,b1c18,1.934111118316649e-05,b1c24,3.18829218546549e-05,b1c41,3.588239351908363e-05,b1c5,3.664076328277585e-05,b1c3,5.02598285675049e-05,b1c11,5.0306916236877454e-05,b1c23,5.1532387733459455e-05,b1c40,5.930642286936438e-05,b1c9,6.105244159698481e-05
b3c3,slope_last_400_cycles,-0.0003808070719242096,b1c3,6.366223096847528e-06,b1c18,1.7726719379425088e-05,b1c5,3.013402223587039e-05,b1c11,3.452107310295108e-05,b1c24,3.588572144508362e-05,b1c41,3.844290971755982e-05,b1c20,4.870355129241947e-05,b1c23,5.1178038120269775e-05,b1c15,5.5012255907058735e-05,b1c29,5.727261304855347e-05
b3c3,mean_grad_last_400_cycles,-0.0003807681798934936,b1c3,5.839318037033066e-06,b1c18,1.7350912094116233e-05,b1c5,3.052398562431336e-05,b1c11,3.537565469741822e-05,b1c24,3.590598702430726e-05,b1c41,3.859058022499085e-05,b1c20,4.903584718704226e-05,b1c23,5.095958709716797e-05,b1c15,5.52073121070862e-05,b1c14,5.861446261405949e-05
b3c3,slope_last_500_cycles,-0.00031944239139556886,b1c3,8.638501167297326e-06,b1c11,2.2808194160461393e-05,b1c5,2.8574466705322244e-05,b1c24,3.127348423004149e-05,b1c15,4.170882701873778e-05,b1c17,5.043876171112059e-05,b1c28,5.369949340820312e-05,b1c40,5.646145343780515e-05,b1c34,6.240952014923096e-05,b1c32,6.511199474334718e-05
b3c3,mean_grad_last_500_cycles,-0.000319430947303772,b1c3,8.920073509216281e-06,b1c11,2.2881984710693343e-05,b1c5,2.8653860092163084e-05,b1c24,3.156208992004391e-05,b1c15,4.173171520233153e-05,b1c17,5.0551176071167e-05,b1c28,5.382704734802242e-05,b1c40,5.782687664031982e-05,b1c34,6.24982118606567e-05,b1c32,6.513249874114991e-05
b3c3,slope_last_600_cycles,-0.0002761176228523254,b1c3,1.0189513365427662e-05,b1c11,1.7448961734771722e-05,b1c24,2.8682649135589608e-05,b1c5,2.8979778289794965e-05,b1c15,3.071834643681847e-05,b1c17,3.7484864393870076e-05,b1c28,4.465242226918539e-05,b1c40,4.8866371313730905e-05,b1c38,4.942476749420166e-05,b1c1,5.00198205312093e-05
b3c3,mean_grad_last_600_cycles,-0.0002763838569323222,b1c3,1.0006924470265706e-05,b1c11,1.7246901988983128e-05,b1c24,2.8450985749562557e-05,b1c5,2.8756260871887196e-05,b1c15,3.0500888824462906e-05,b1c17,3.721813360850013e-05,b1c28,4.462033510208127e-05,b1c38,4.918237527211508e-05,b1c34,4.98210390408834e-05,b1c40,5.0137639045715336e-05
b3c3,slope_last_700_cycles,-0.00024357242243630545,b1c4,1.1539544378008165e-05,b1c3,1.2679696083068876e-05,b1c11,1.2929865292140414e-05,b1c15,1.9653780119759708e-05,b1c24,2.536918435777939e-05,b1c5,2.6059320994785862e-05,b1c17,3.088806356702531e-05,b1c28,3.7651743207659026e-05,b1c40,3.962235791342601e-05,b1c1,3.991178103855678e-05
b3c3,mean_grad_last_700_cycles,-0.00024350694247654507,b1c3,1.2881415230887259e-05,b1c11,1.3032300131661528e-05,b1c15,1.9611035074506476e-05,b1c24,2.5677936417715903e-05,b1c5,2.6086739131382517e-05,b1c17,3.099066870553151e-05,b1c28,3.771253994532992e-05,b1c1,3.9268306323460186e-05,b1c36,3.989585808345249e-05,b1c34,4.007858889443534e-05
b3c3,slope_last_800_cycles,-0.00021820046007633208,b1c4,5.969926714897159e-06,b1c3,1.0547712445259112e-05,b1c5,2.2478252649307248e-05,b1c24,2.3475363850593577e-05,b1c17,2.497829496860506e-05,b1c28,3.214389085769655e-05,b1c1,3.406822681427e-05,b1c26,4.3451189994812026e-05,b1c7,5.229130387306215e-05,b1c11,nan
b3c3,mean_grad_last_800_cycles,-0.00021823398768901824,b1c4,6.148219108581548e-06,b1c3,1.0565519332885755e-05,b1c5,2.250529825687409e-05,b1c24,2.3520961403846743e-05,b1c17,2.4980306625366206e-05,b1c28,3.2100975513458255e-05,b1c1,3.41355800628662e-05,b1c26,4.401773214340212e-05,b1c7,5.311645567417146e-05,b1c11,nan
b3c3,slope_last_900_cycles,-0.00019924581050872803,b1c3,9.192426999409995e-06,b1c5,1.8990834554036452e-05,b1c1,3.1890471776326496e-05,b1c7,nan,b1c11,nan,b1c15,nan,b1c17,nan,b1c19,nan,b1c21,nan,b1c24,1.926296287112767e-05
b3c3,mean_grad_last_900_cycles,-0.00019931296507517496,b1c3,9.164743953280987e-06,b1c5,1.8940170605977376e-05,b1c1,3.1945043139987506e-05,b1c7,nan,b1c11,nan,b1c15,nan,b1c17,nan,b1c19,nan,b1c21,nan,b1c24,1.9186337788899745e-05
